OBS	INTRATE	INFL	PROD	UNEMPL	COMMPRI	PCE	PERSINC	HOUST					
1979:1	10.07	9.25040	7.80458	4.98256	20.67511	13.00075	2.78957	-5.12224					
1979:2	10.06	9.84127	7.86224	4.83355	16.26344	11.97292	2.59943	-12.54315					
1979:3	10.09	10.25237	6.22235	4.70273	21.30014	11.11915	2.06638	-9.10433					
1979:4	10.01	10.48513	2.91978	3.77772	9.65693	10.14855	0.93621	-20.43696					
1979:5	10.24	10.69767	3.36189	3.79382	6.23472	10.36796	0.55375	-9.59036					
1979:6	10.29	11.07692	2.64002	3.63193	7.77643	10.47699	0.30462	-7.58454					
1979:7	10.47	11.45038	2.50967	3.45164	12.16867	11.13363	0.55716	-15.86998					
1979:8	10.94	11.83612	1.46016	3.21898	0.23419	11.62646	0.27280	-10.92184					
1979:9	11.43	11.87970	1.30133	3.08955	-2.07373	12.43737	0.20354	-7.00508					
1979:10	13.77	12.07154	1.02246	2.87423	-1.38249	11.89667	-0.06931	-15.14387					
1979:11	13.18	12.59259	0.20332	2.47197	6.06421	11.92160	0.13362	-27.22063					
1979:12	13.78	13.25479	-0.26789	2.25548	-0.11834	11.34289	-0.15271	-26.71233					
1980:1	13.82	13.86861	0.83689	2.24299	-3.26340	12.96554	0.23599	-17.73006					
1980:2	14.13	14.16185	0.32622	2.05269	-2.31214	12.09253	-0.72528	-11.18421					
1980:3	17.19	14.59227	-0.32783	1.69200	-4.21893	11.55700	-1.80938	-43.31348					
1980:4	17.61	14.58924	-1.27343	1.60147	-10.19699	10.19257	-1.61330	-39.87414					
1980:5	10.98	14.42577	-4.40804	0.69940	-18.52704	9.06124	-1.45366	-50.58635					
1980:6	9.47	14.26593	-5.58131	-0.01110	-28.52311	9.07825	-1.07538	-37.48040					
1980:7	9.03	13.15068	-6.04374	-0.41900	-36.30505	10.13144	-0.89047	-27.89773					
1980:8	9.61	12.89009	-5.16392	-0.22149	-21.72897	9.13749	-0.82113	-19.23510					
1980:9	10.87	12.76882	-3.73245	-0.12732	-20.00000	8.91276	-0.22295	-19.70524					
1980:10	12.81	12.63298	-3.05204	0.00995	-12.14953	10.59538	0.87685	-9.39917					
1980:11	15.85	12.63158	-1.27508	0.18990	-14.01345	10.14022	0.81550	-0.91864					
1980:12	18.90	12.35371	-0.79536	0.29777	-11.61137	11.06123	1.03113	-1.06809					
1981:1	19.08	11.79487	-1.76409	0.25880	-8.07229	10.17278	-0.10300	15.36167					
1981:2	15.93	11.39241	-2.30231	0.24537	-16.09467	10.77627	0.08885	-7.70370					
1981:3	14.70	10.61174	-1.46730	0.23738	-13.57143	11.42840	1.14050	24.73734					
1981:4	15.72	10.13597	0.12164	0.47661	-9.41935	12.33304	1.43416	29.40057					
1981:5	18.52	9.79192	3.25722	0.96661	-6.49718	12.55061	1.91814	22.97735					
1981:6	19.10	9.69697	5.03050	1.54386	11.67192	12.50725	2.29995	-12.62542					
1981:7	19.04	10.77482	6.40136	1.96467	12.81619	11.10667	2.91504	-17.96690					
1981:8	17.82	10.81731	6.09781	1.63046	-2.08955	11.43294	2.98753	-34.54039					
1981:9	15.87	10.96544	3.73690	1.40672	-3.23529	10.31893	2.31888	-38.06934					
1981:10	15.08	10.27155	1.75829	0.98242	-23.53723	8.00923	1.31611	-42.67892					
1981:11	13.31	9.57944	-1.10036	0.46613	-23.85919	7.76964	1.10305	-44.56954					
1981:12	12.37	8.91204	-2.75804	-0.05498	-26.67560	7.24333	0.49321	-38.59649					
1982:1	13.22	8.25688	-4.13644	-0.51627	-36.04194	6.54505	1.01144	-45.50743					
1982:2	14.78	7.61364	-1.78726	-0.59602	-36.10719	6.98634	1.65713	-30.49759					
1982:3	14.68	6.88488	-3.03268	-0.85298	-51.23967	6.09507	1.39846	-28.71363					
1982:4	14.94	6.62177	-3.45799	-1.23900	-49.14530	6.18616	2.72395	-32.57353					
1982:5	14.45	6.91193	-4.65282	-1.29911	-37.46224	6.65728	2.13397	-10.08772					
1982:6	14.15	7.18232	-5.39575	-1.77724	-44.06780	5.76219	1.05771	-13.68421					
1982:7	12.59	6.55738	-6.30644	-2.27069	-39.01345	6.65056	0.55291	12.00768					
1982:8	10.12	5.96529	-7.06383	-2.40482	-40.24390	5.78231	0.38743	11.27660					
1982:9	10.31	4.94092	-6.77416	-2.50987	-37.38602	7.14866	0.49500	25.57629					
1982:10	9.71	5.03212	-6.96152	-2.70738	-28.69565	8.36639	0.28113	34.36426					
1982:11	9.20	4.47761	-6.27788	-2.61925	-36.13014	9.24255	0.65461	63.91876					
